2023-05-05_11-20-54,7.000000
2023-05-05_11-20-55,8.000000
2023-05-05_11-20-56,9.000000
2023-05-05_11-20-57,10.000000
2023-05-05_11-20-58,11.000000
2023-05-05_11-20-59,12.000000
2023-05-05_11-21-00,13.000000
2023-05-05_11-21-01,14.000000
2023-05-05_11-21-02,15.000000
2023-05-05_11-21-03,16.000000
2023-05-05_11-21-04,17.000000
2023-05-05_11-21-05,18.000000
2023-05-05_11-21-06,19.000000
2023-05-05_11-21-07,20.000000
2023-05-05_11-21-08,21.000000
2023-05-05_11-21-09,22.000000
2023-05-05_11-21-10,23.000000
2023-05-05_11-21-11,24.000000
2023-05-05_11-21-12,25.000000
2023-05-05_11-21-13,26.000000
2023-05-05_11-21-14,27.000000
2023-05-05_11-21-15,28.000000
2023-05-05_11-21-16,29.000000
2023-05-05_11-21-17,30.000000
2023-05-05_11-21-18,31.000000
2023-05-05_11-21-19,32.000000
2023-05-05_11-21-20,33.000000
2023-05-05_11-21-21,34.000000
2023-05-05_11-21-22,35.000000
2023-05-05_11-21-23,36.000000
